cluster	rank	gene	score	logfoldchange	pval	pval_adj
7	17	HERPUD1	31.10994529724121	2.491196632385254	1.7670802638771858e-212	2.9643316821682964e-210
7	18	XBP1	30.643213272094727	2.5581696033477783	3.254439482684742e-206	5.2959669090682956e-204
7	19	POU2AF1	30.120330810546875	4.35456657409668	2.6251835620413194e-199	4.147790028025285e-197
7	20	IGHA2	28.91204261779785	7.981644153594971	8.426006662384208e-184	1.2377576057132607e-181
8	1	CD79A	46.66123580932617	6.875394344329834	0.0	0.0
8	2	MS4A1	46.16142654418945	10.786672592163086	0.0	0.0
8	3	CD37	44.88422393798828	2.8568291664123535	0.0	0.0
8	4	CD74	43.96562957763672	3.876361608505249	0.0	0.0
8	5	HLA-DRA	42.22172927856445	4.583868026733398	0.0	0.0
8	6	HLA-DQA1	41.12916946411133	4.223136901855469	0.0	0.0
8	7	HLA-DRB1	38.30924606323242	3.470104217529297	0.0	0.0
8	8	HLA-DPB1	36.76105499267578	2.981534004211426	7.742266192245369e-296	2.6300478255057517e-292
8	9	HLA-DQB1	36.145599365234375	3.5913808345794678	4.362575706260493e-286	1.3173039710370572e-282
8	10	HLA-DPA1	35.994873046875	2.9272758960723877	1.0062461877092386e-283	2.7345746397186265e-280
8	11	CD79B	35.90085983276367	5.119973182678223	2.9616882358102324e-282	7.316985408761716e-279
8	12	BANK1	35.49869918823242	7.955583095550537	5.148076183319745e-276	1.1658676529824783e-272
8	13	VPREB3	33.76301574707031	8.904532432556152	6.887249066903183e-250	1.2477858709477392e-246
8	14	HVCN1	31.926233291625977	4.714442253112793	1.1550003711362934e-223	1.5694145042999952e-220
8	15	NCF1	31.188627243041992	2.7424330711364746	1.5197087260289787e-213	1.966647825645882e-210
8	16	MEF2C	30.93637466430664	3.5252127647399902	3.8747759788177066e-210	4.5783005217543475e-207
8	17	RALGPS2	30.34974479675293	5.838441371917725	2.5320832099217147e-202	2.8671622213680216e-199
8	18	LINC00926	30.128250122070312	9.185311317443848	2.0675679964410493e-199	2.2475291148512785e-196
8	19	CD19	29.66595458984375	7.586582660675049	2.1118775253350032e-193	2.2073993703270786e-190
8	20	RPL8	29.264230728149414	0.8729867935180664	2.9597339972991896e-188	2.681124370353426e-185
9	1	NKG7	42.88590621948242	5.0403218269348145	0.0	0.0
9	2	PRF1	41.195159912109375	4.428252696990967	0.0	0.0
9	3	FGFBP2	41.07709503173828	5.851287364959717	0.0	0.0
9	4	GZMB	40.72675704956055	4.978701114654541	0.0	0.0
