query_group	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
10	0.68116834687495	0.65545922148346	0.6763894300742	0.71744404182919	0.93647642160575	0.96350056245691	0.50558756730839	0.67621160133322	0.75953229258908	0.64195150600568	0.9939818527404	0.67101802735441	0.72783538800247	0.96739964429838	0.91439497874238	0.63537048812761	0.61799859282684	0.66771388964499	0.74779777579
11	0.82742122927395	0.93628340553686	0.9087583316999	0.79857980611648	0.62584467030345	0.66206549352866	0.48520833863338	0.94544331159925	0.67919299761723	0.95836707848577	0.67493939038064	0.99994378769481	0.89572177039616	0.65821886391257	0.64950401538685	0.78989405898916	0.56710446795588	0.60992203393244	0.67371858564098
12	0.70270185980522	0.64971838077103	0.6143261782893	0.66938666885628	0.96632078078393	0.95109109097205	0.55578933934538	0.60725605263463	0.76915275065246	0.6347504923093	0.91317695112869	0.66084749034044	0.75341984165938	0.86422581947758	0.99612106720024	0.6579665543248	0.63286556964015	0.68837494158965	0.69241576408043
13	0.65543537176091	0.62857443728604	0.6337421885118	0.66199864092758	0.88891153981535	0.94102382846953	0.49744143253165	0.64330798124805	0.70470561344479	0.62372876334201	0.95183327455162	0.65488139960525	0.69284650495191	0.99752161533336	0.85843372793298	0.61935483516434	0.60263965724931	0.6378399878694	0.72182592543137
14	0.96204873649239	0.8772351997754	0.82650896453621	0.89090640274052	0.58928120882165	0.63998267435491	0.53803829166842	0.72326182019025	0.74729887531283	0.75479994657339	0.63675596029218	0.79527836359643	0.87470919990857	0.6224914961759	0.63370147471271	0.9997900677584	0.62614604739822	0.6567635439901	0.66739339707658
15	0.91222294071414	0.9498980853408	0.93797534122063	0.90602356283422	0.65915988949765	0.6926244045429	0.55503391279616	0.88531152528804	0.76476331567345	0.87779323761851	0.71414867698464	0.91300167175803	0.98752538799632	0.67714714619593	0.69741588551161	0.88102523364057	0.64180115480914	0.69175903237856	0.72302622953799
16	0.65478291781988	0.56993804203865	0.55920233395759	0.63212987975952	0.61162550550765	0.63576956393176	0.4770002991393	0.54293770099861	0.59854070854776	0.5559546658243	0.61796930668678	0.5667703832464	0.65408960235502	0.60375730528126	0.62541591741336	0.62671163947326	0.99999609767316	0.80709503201245	0.61276815131552
17	0.69692942911718	0.62414425262803	0.60319931524871	0.67003782507297	0.66422970153885	0.69019493923942	0.51228967797539	0.57543295589029	0.67486769917632	0.59723869751556	0.6670649549866	0.61173790985183	0.72428449392192	0.64247742284993	0.68581319692926	0.66237618319179	0.81518612629221	0.99302314433356	0.63527443820658
18	0.69564084017135	0.64960296254485	0.69893708052251	0.74470197083953	0.68971581545101	0.70426716360052	0.54900874116384	0.69722653712538	0.70613595013345	0.64078219471615	0.74743399977892	0.67466330824165	0.72099063654967	0.72217398881391	0.68514387579681	0.66633010814694	0.61310472391149	0.62930720495199	0.99995837725913
19	0.71879855866614	0.68794732632788	0.6751265961083	0.69870389705692	0.76621329208642	0.81189416131652	0.63424618205143	0.67115508688264	0.79468121809467	0.68545318285725	0.84372706724979	0.70499324731162	0.77911431951428	0.75497302902456	0.8094077439436	0.68248772536107	0.60932209387948	0.66129466217597	0.69868970929859
