query_group	DNT	CD8_C7	CD8_C2	CD8_C0	NK_C3	NKT	NK_C4	NK_C2	NK_C1	CD4_C3	CD4_C4	NK_C6	CD8_C4	CD8_C5	CD8_C6	CD4_C5	CD8_C1	CD4_C2	CD4_C1	CD4_C6	CD4_C0	gdT	CD8_C8	NK_C7	Proliferative CD4 T cell	Proliferative NK cell	Proliferative CD8 T cell	CD8_C3	CD8_C9	B cell_C3	TAM_C3	TAM_C0	DC2_C5	TAM_C4	DC_C13	Classical Mono_C1	Classical Mono_C2	Non-classical Mono_C6	DC1_C14	Proliferating DC_C9	TAM_C7	Proliferative B cell	B cell_C2	pDCs	Plasma_C0	Plasma_C4	Plasma_C1	Proliferative plasma cell	Fibroblast_C9	Fibroblast_C15	Fibroblast_C6	Fibroblast_C1	Fibroblast_C2	Endothelial_C4	Endothelial_C7	Endothelial_C0	Endothelial_C13	Mesothelial_C12	VSMC_C3	VSMC_C14	Mast	Mesothelial_C8
CD8_C5	0.94461269269854	0.97970993801101	0.95266646759497	0.96426410424358	0.91880624381212	0.95162032520214	0.87924798625131	0.90015678205127	0.8566613269926	0.91000241697199	0.96043990575323	0.90147607964665	0.97065041900939	1	0.96158894450339	0.95478145853449	0.97582631609005	0.9357682941644	0.89099524781925	0.90602476931925	0.86281797078926	0.96562538332324	0.94814372520468	0.9390036268945	0.88719053568905	0.89529521571585	0.92749358863364	0.9286318577432	0.91366649377642	0.72697102771754	0.66803901622807	0.59381450964224	0.65228506427152	0.60014061022855	0.75690360920533	0.62668804633618	0.65716805914945	0.6572832525767	0.65218485246749	0.6296631574581	0.60650329867261	0.75171690270631	0.73058466766748	0.68407806051559	0.52943016994931	0.51474843486446	0.48931124661836	0.60927847100032	0.58384719572521	0.5766087731086	0.58786052868704	0.51447802491037	0.57417494925771	0.60091149998311	0.58608133415891	0.60409992770934	0.61481657513214	0.56586424103926	0.56751081035239	0.57305494786393	0.71981922241738	0.6475659415394
CD8_C6	0.91492656375093	0.96708755481712	0.97049636834749	0.96069176833122	0.95936110556679	0.97508270123182	0.93763054133048	0.96297387919985	0.91617039561261	0.84952271826649	0.91324601467525	0.94040615716634	0.97946018085367	0.96158894450339	1	0.90363830580712	0.98566350890338	0.86850082696093	0.80451004413898	0.84213405935761	0.77445028484041	0.96566193263944	0.97935771879345	0.9828481688831	0.85580262879436	0.94706663131198	0.95049398710275	0.86963515329544	0.89179270004832	0.70667998975343	0.66179414850278	0.59323885869892	0.65053838473653	0.59681135999307	0.73619981394716	0.62240626797465	0.65320293242586	0.65161139034599	0.65545851979297	0.63167402522472	0.59838350812941	0.73033207539445	0.70576787930156	0.68072793801485	0.50872267856628	0.49817373699291	0.46510350422781	0.58963105763611	0.54754698596755	0.54121135525138	0.56254447286891	0.48433308504506	0.53905571874264	0.58352179531863	0.55755011121164	0.59004061465992	0.5938875193781	0.53699043671654	0.53652255775301	0.53123623901807	0.70528801785416	0.61990340651562
CD4_C5	0.93737988774888	0.94435707483602	0.89904613298858	0.91120191466361	0.8525763567472	0.89460667014499	0.818262282889	0.8374770933144	0.78525498638513	0.97097680333095	0.97180425853841	0.84701657689928	0.93364607010935	0.95478145853449	0.90363830580712	1	0.93269815243814	0.98068407682519	0.93678213622861	0.96968082171123	0.91148094407098	0.91861117842427	0.90258908736859	0.89686020768797	0.93293890993859	0.84836990942449	0.89253029797372	0.90973576805695	0.89494861854563	0.7785799879017	0.68856322314614	0.62172134118775	0.68137751904745	0.6268945937568	0.78737339656933	0.6443129350689	0.67003927873542	0.67298766316079	0.68572258788347	0.65568381118422	0.63911971130184	0.77930864961899	0.78104103502078	0.70162337023828	0.56390902708964	0.55216721097057	0.52120514669072	0.65360944013664	0.62444152240726	0.61411479591399	0.63333102064637	0.54672436024445	0.61014544963559	0.64652767039529	0.62528934253964	0.64550348641324	0.65739552530119	0.60464501134608	0.60385398625961	0.61458104578852	0.73604101358377	0.68354381074507
CD8_C1	0.92852292374201	0.98169072001587	0.97823194468986	0.97764198023707	0.92900562535627	0.97076543857152	0.8946927511506	0.92280005005862	0.86783474394017	0.88030897547384	0.93633093692207	0.90422144257732	0.99217548875836	0.97582631609005	0.98566350890338	0.93269815243814	1	0.90418980863959	0.83804067660749	0.8778575073731	0.80904653131949	0.96371093819652	0.97953157102348	0.9580746175489	0.87678188541304	0.9131373859515	0.9561562556454	0.89891400962362	0.91615299500022	0.72826483120426	0.65899408618903	0.58457627157725	0.6472715245325	0.59039392912609	0.74560932084994	0.6138344201827	0.64585793101403	0.64088552185047	0.66134773011211	0.6262819131573	0.58847132822796	0.74333010709496	0.72833097337939	0.67697987056016	0.53709548266247	0.51828784161771	0.49114861377738	0.61132760009144	0.56422296389425	0.55720062079089	0.58009289574314	0.49724251769054	0.55318524577707	0.59682871304159	0.56894197425156	0.60440187144747	0.60950080709419	0.55112066734108	0.54937304388717	0.54769285732033	0.70716583166335	0.63068627459988
CD4_C2	0.92404700354567	0.92019903717352	0.85449825496508	0.88465421198749	0.82195104663267	0.85581748117303	0.76828887427452	0.79963619636651	0.73988344565955	0.97266618426993	0.95707052657561	0.82471846549512	0.91030775648664	0.9357682941644	0.86850082696093	0.98068407682519	0.90418980863959	1	0.95368625190787	0.9857450553293	0.94038192706447	0.88899620095951	0.84966530620508	0.85366489087412	0.91843297942164	0.80601375190182	0.84652307061724	0.92511725266996	0.87428870632131	0.80354886052947	0.70027055234563	0.62357266998318	0.69025147096938	0.62813459523882	0.8011970448121	0.65238451242884	0.67495052899114	0.68947047870185	0.69376596521681	0.65764792694906	0.64686549220192	0.77304116257345	0.8071434746159	0.69723080600669	0.58026971004246	0.56430723829443	0.53265482981735	0.65573060289358	0.64822719866503	0.63039763475842	0.65601255625222	0.56682764411357	0.63289418034207	0.65997701448352	0.63594173330489	0.65382555694849	0.67941437792252	0.61715285933444	0.62133804385879	0.62898935543349	0.75441842969449	0.69668135642213
CD4_C1	0.94945584594063	0.89175497760679	0.83403693074176	0.86670752298402	0.78500348039708	0.8399042139677	0.76343230750196	0.7409766759821	0.73269701214097	0.96144730670096	0.95969634462244	0.80892469742121	0.82906567985825	0.89099524781925	0.80451004413898	0.93678213622861	0.83804067660749	0.95368625190787	1	0.9523786502551	0.99150169751384	0.87818619232025	0.79584190262711	0.8016660291518	0.91434119814122	0.77840748697056	0.82015350175135	0.95809475451546	0.89426367544092	0.78573557329948	0.66667230228979	0.63408944319662	0.70800076169362	0.65683483592754	0.79544953508392	0.6633662541961	0.67861379378363	0.68758688229671	0.71516052929434	0.6686963486775	0.67457390569298	0.82349462752856	0.80771507556618	0.7219911778852	0.57511282572035	0.5684958933991	0.56776291349174	0.6757256006179	0.67015090990155	0.66141704279188	0.67725643846344	0.59637041347306	0.66536040358101	0.69300693945033	0.67886319272573	0.68568486637873	0.69196399846574	0.66100142349612	0.6505276735719	0.67590934807164	0.71131948471449	0.73178638960963
CD4_C6	0.91380912802074	0.89729841279004	0.83364585161732	0.86114319302781	0.79493893592548	0.83139381234841	0.74571737474363	0.77073514204018	0.71581260033075	0.98438889834262	0.93945136569204	0.8031785109344	0.88164136719003	0.90602476931925	0.84213405935761	0.96968082171123	0.8778575073731	0.9857450553293	0.9523786502551	1	0.94187987374882	0.86224186100035	0.83392304082719	0.82756079660574	0.93253468848714	0.78491910898623	0.83584744334509	0.9090033017568	0.86889881471074	0.81503060200557	0.69894277377919	0.63077609844748	0.70513770830829	0.63615861454321	0.80533995845541	0.65677143267322	0.67470630321827	0.69618859058929	0.71415165407695	0.66669596175138	0.6602433727809	0.78607769930813	0.82017452343528	0.7099614669756	0.58896110147439	0.57621509643459	0.54761789853266	0.67190866057099	0.65305962432132	0.63435241623701	0.66742454975901	0.56995540734696	0.63960855377214	0.67376211969825	0.64805198780926	0.66681370874133	0.6913101814808	0.63147702088567	0.63007605126195	0.63880336780916	0.74246430777694	0.70918109087016
CD4_C0	0.92756723275067	0.86633205000448	0.79919443097002	0.83630830802626	0.7585858781478	0.80871703187856	0.73430287600497	0.71513556480506	0.7097138778624	0.94475994332992	0.93278157599775	0.78841710905447	0.79895175848786	0.86281797078926	0.77445028484041	0.91148094407098	0.80904653131949	0.94038192706447	0.99150169751384	0.94187987374882	1	0.84933331347211	0.76328594124058	0.77309629674472	0.89438700737425	0.75422127219637	0.79094771887261	0.9539734455771	0.87174343672676	0.7802583797393	0.65496883179778	0.62470111861918	0.69633296440537	0.6459819250076	0.77960689125845	0.65626219534636	0.6688062344441	0.6828221513249	0.70190529237084	0.66003357827042	0.66744615826372	0.80937894970377	0.8036171248788	0.71161706567213	0.57546207908143	0.56478048543274	0.5687935704287	0.670482952902	0.66746286527603	0.65574217686283	0.67560296798551	0.59901718907384	0.66644227659886	0.68810026373437	0.67605175680233	0.67512585780773	0.68855991845876	0.6606510133666	0.64753739483478	0.67583749228322	0.70714878892323	0.72657634464893
gdT	0.96441295088829	0.96882078894368	0.97200678810748	0.97734404348905	0.95508456590794	0.97866948817146	0.9386857952914	0.92787122147567	0.91090736615334	0.88020673830267	0.96438853943188	0.93997824321584	0.95126500417082	0.96562538332324	0.96566193263944	0.91861117842427	0.96371093819652	0.88899620095951	0.87818619232025	0.86224186100035	0.84933331347211	1	0.94814220504624	0.9572715932635	0.88059031200253	0.93523020309992	0.93969995891051	0.91716888807414	0.93889701301965	0.71236985268345	0.65687368128577	0.60934438990816	0.67380885721833	0.62634128004789	0.75620138775403	0.6398646937899	0.66788244430409	0.65944251217272	0.68186352857681	0.64836395140325	0.62561446099092	0.77963562268501	0.72533477806134	0.6966687752436	0.51924742987649	0.51162380874069	0.49953490804401	0.61299596476919	0.577886722978	0.57984813992593	0.59121171721114	0.51937238035548	0.57362383510057	0.61570072444098	0.59355974031642	0.62350106736347	0.61334949989102	0.57693861477641	0.56785848683892	0.5788165631266	0.69592208311677	0.65760177709983
CD8_C8	0.90719158113155	0.96540160634197	0.97837630623507	0.96051897838824	0.92317347254459	0.96886816152233	0.91506928887846	0.92568643876643	0.88766029580948	0.84998616058631	0.90485853470318	0.90323151142484	0.96306487503592	0.94814372520468	0.97935771879345	0.90258908736859	0.97953157102348	0.84966530620508	0.79584190262711	0.83392304082719	0.76328594124058	0.94814220504624	1	0.96066246741584	0.86493704601848	0.92632727330713	0.96347819016375	0.86279432546146	0.9010900935658	0.69284280896054	0.64260466073598	0.58021014997501	0.63993108241922	0.58719389130646	0.71853614340953	0.605040014131	0.63572092500757	0.62596654906031	0.65315379144693	0.62287827493466	0.58490457070998	0.73740719358026	0.69336044814994	0.68167059477089	0.49234067675994	0.48795688050991	0.45650834707126	0.59195563352982	0.5378404835196	0.53741897116131	0.55287514361326	0.47554305642011	0.52866315291261	0.57919903599178	0.55246084019781	0.58919609246839	0.58371914798763	0.53813992409391	0.52956931716662	0.52538241712968	0.67510346718404	0.6132701067337
NK_C7	0.91011638783151	0.94576067212639	0.94903547175358	0.93301867081403	0.97301468506938	0.9533052764024	0.94515817921319	0.96111874760981	0.93290104376136	0.84043751346986	0.90739688591907	0.95280241753299	0.94943107047158	0.9390036268945	0.9828481688831	0.89686020768797	0.9580746175489	0.85366489087412	0.8016660291518	0.82756079660574	0.77309629674472	0.9572715932635	0.96066246741584	1	0.84917245893054	0.96600022589649	0.93835920892227	0.85175155796795	0.87738989412162	0.68217429625054	0.65333309943267	0.59757758772245	0.64926028575443	0.60120692212749	0.72206609684156	0.62526792948314	0.6548816790726	0.65430364062358	0.64351205329025	0.6324727310836	0.61066104293284	0.73136842252127	0.68412964539634	0.68492902564859	0.50177782683118	0.49033812351863	0.46337146610562	0.58905813729638	0.54917939974418	0.5482067303063	0.55713893650078	0.48684139648472	0.54529350218508	0.57984940220587	0.56664984354874	0.58547540373586	0.58801042413651	0.54470187688315	0.54262920010647	0.54214273094772	0.70891180743378	0.62257160205112
Proliferative CD4 T cell	0.93483871043488	0.90001182080744	0.87782060811835	0.8854023844129	0.82019775265045	0.86274396878756	0.79276761852396	0.78900609656473	0.75959853568565	0.94508954366946	0.92896801686311	0.81866493724812	0.87214591957119	0.88719053568905	0.85580262879436	0.93293890993859	0.87678188541304	0.91843297942164	0.91434119814122	0.93253468848714	0.89438700737425	0.88059031200253	0.86493704601848	0.84917245893054	1	0.86965608954797	0.91929466243352	0.88862220694394	0.91533869040586	0.8075202791772	0.7062858003597	0.66664319678142	0.74314456208117	0.68535941936321	0.82434327813352	0.68551362327795	0.70813870715293	0.70537329027761	0.76061501104612	0.73593942382922	0.69502776613776	0.885086299973	0.81822751565894	0.74328028100926	0.56656221719088	0.58852016575909	0.54815330058054	0.74347705888956	0.64943193323789	0.63754003275208	0.66977410050633	0.57796434856395	0.63824267309004	0.70374546332489	0.67508224494199	0.71537275744533	0.69165420458131	0.68904355491553	0.6364505235175	0.63701964537763	0.73262608448892	0.72833335669468
Proliferative NK cell	0.8983187865818	0.90695472938007	0.9194828355956	0.90149994487727	0.9614332720765	0.93572007481537	0.95231359900953	0.95537451538226	0.95269304453943	0.80095614798132	0.87620097172784	0.95347963697779	0.90073502837925	0.89529521571585	0.94706663131198	0.84836990942449	0.9131373859515	0.80601375190182	0.77840748697056	0.78491910898623	0.75422127219637	0.93523020309992	0.92632727330713	0.96600022589649	0.86965608954797	1	0.94943434588749	0.82438132609107	0.86046752690547	0.67772688842768	0.66468134958465	0.62175167072714	0.67892049860982	0.63277898708466	0.73489936299866	0.64868389728864	0.67638219840652	0.66838228748238	0.67700816338179	0.68206097425443	0.63969197469654	0.78782481556058	0.68634869137562	0.71297142407426	0.49870824990063	0.49396321871485	0.4744501481817	0.63214601665994	0.57824182890784	0.5759388906642	0.58834764231936	0.5287190477592	0.57787948532569	0.62202504383859	0.6059376343149	0.62923527520095	0.61758171855982	0.61370178274985	0.57925337843615	0.56978263233796	0.71333191773313	0.65924961801463
Proliferative CD8 T cell	0.92826309352163	0.94852069496872	0.96512940488213	0.95043828704684	0.90774104543279	0.95475452541018	0.89903565775724	0.89693851197525	0.87272232579612	0.85055390943029	0.90931510771426	0.88866468376292	0.93729717522242	0.92749358863364	0.95049398710275	0.89253029797372	0.9561562556454	0.84652307061724	0.82015350175135	0.83584744334509	0.79094771887261	0.93969995891051	0.96347819016375	0.93835920892227	0.91929466243352	0.94943434588749	1	0.87504324504825	0.91913785809137	0.71528255235594	0.6453364286792	0.59986954699736	0.66325207711069	0.61666770415331	0.74258851743969	0.62212688457543	0.65407539257107	0.6350206342609	0.68110744184821	0.66747862761294	0.61119785660264	0.81887329263786	0.72541620047775	0.70674828116536	0.56858107679969	0.54721812120525	0.54425734460212	0.68737404394284	0.57503869330323	0.56922124962225	0.59426380304224	0.51275380967586	0.56861526850905	0.62608637884787	0.60168857284403	0.64087904601927	0.62196670061524	0.61429801575755	0.57093507778678	0.5666408032255	0.69354002005203	0.65431931294536
CD8_C3	0.95879061936275	0.94277535149607	0.90443266838042	0.9325735469694	0.83616087594609	0.90485522644144	0.8130859711942	0.79239790400497	0.78763323495704	0.9169810428276	0.9506870105939	0.85300578365413	0.88171101891027	0.9286318577432	0.86963515329544	0.90973576805695	0.89891400962362	0.92511725266996	0.95809475451546	0.9090033017568	0.9539734455771	0.91716888807414	0.86279432546146	0.85175155796795	0.88862220694394	0.82438132609107	0.87504324504825	1	0.93441405910903	0.74828361743526	0.64070213301644	0.60182018304832	0.67738027412493	0.62600314099742	0.7604514368809	0.637448767277	0.65773727972852	0.66518820391362	0.68808853429517	0.63971138481497	0.64037330856123	0.79851265420099	0.7698305309006	0.70115589514187	0.55139789160174	0.54103785715293	0.54161971841216	0.64344861110477	0.63231388319073	0.62886770562552	0.64001999582559	0.56792495348212	0.63154838335941	0.65794362529547	0.64592947249133	0.65376861375815	0.65774316547532	0.62788711730451	0.61696187954846	0.63748491820019	0.69474018887568	0.69660750736278
