Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
T/NK	Organismal Systems	Immune system	hsa04670	Leukocyte transendothelial migration	11/208	111/7622	0.0990990990990991	3.63141025641026	4.67748635162863	0.000208077192729233	0.00235597079509551	0.0023559707950955	3702/5880/7852/5908/5295/7430/399/103910/10627/4267/3689	11
T/NK	Cellular Processes	Cell growth and death	hsa04210	Apoptosis	12/208	133/7622	0.0902255639097744	3.30624638519375	4.4939782421775	0.000261971216988495	0.00287349678634256	0.00287349678634256	8717/330/7277/5295/4170/4616/3002/5551/1521/3725/4792/2353	12
T/NK	Cellular Processes	Cell growth and death	hsa04218	Cellular senescence	13/208	154/7622	0.0844155844155844	3.09334415584416	4.39551936302527	0.000282620739907525	0.00300605696083458	0.00300605696083458	7040/3133/4609/896/678/5295/4616/2113/3107/3106/5934/3105/801	13
T/NK	Human Diseases	Infectious disease: bacterial	hsa05135	Yersinia infection	12/208	136/7622	0.0882352941176471	3.23331447963801	4.40155144188748	0.000322422920595609	0.00332854250379585	0.00332854250379585	5880/5295/7535/3932/7456/2533/3725/27040/926/925/4792/2353	12
T/NK	Human Diseases	Cancer: specific types	hsa05210	Colorectal cancer	9/208	86/7622	0.104651162790698	3.83486135957066	4.42814631600163	0.000525944702310755	0.00527447401460215	0.00527447401460215	7040/4609/5880/5295/4616/51176/3725/6932/2353	9
T/NK	Environmental Information Processing	Signal transduction	hsa04630	JAK-STAT signaling pathway	12/208	146/7622	0.0821917808219178	3.01185458377239	4.11102128943448	0.000616327173369856	0.0060091899403561	0.0060091899403561	9021/3458/3575/4609/896/5295/4170/1154/6774/8651/3560/5292	12
T/NK	Human Diseases	Infectious disease: parasitic	hsa05140	Leishmaniasis	8/208	74/7622	0.108108108108108	3.96153846153846	4.28774203417568	0.000863040607535282	0.00818722306067254	0.00818722306067254	7040/3458/1915/3725/2214/3689/4792/2353	8
T/NK	Organismal Systems	Immune system	hsa04657	IL-17 signaling pathway	9/208	93/7622	0.0967741935483871	3.5462158808933	4.13789442391142	0.00093333007925639	0.00862102257418403	0.00862102257418403	8717/3326/3458/3320/7128/3725/2354/4792/2353	9
T/NK	Organismal Systems	Immune system	hsa04620	Toll-like receptor signaling pathway	9/208	94/7622	0.0957446808510638	3.50849018003273	4.09871653962844	0.00100822125693855	0.00907399131244698	0.00907399131244698	6348/1326/6351/9560/5295/3725/6352/4792/2353	9
T/NK	Human Diseases	Cancer: overview	hsa05203	Viral carcinogenesis	12/208	163/7622	0.0736196319018405	2.69773478055687	3.66973498301811	0.00161976191637607	0.0142134108162	0.0142134108162	8717/3133/896/5295/6774/3107/3106/5934/3725/1027/3105/4792	12
T/NK	Organismal Systems	Immune system	hsa04625	C-type lectin receptor signaling pathway	9/208	103/7622	0.087378640776699	3.20192307692308	3.76835726837504	0.00192656223150882	0.0164932522746243	0.0164932522746243	3659/2207/1540/868/5295/3725/4046/801/4792	9
T/NK	Human Diseases	Infectious disease: parasitic	hsa05144	Malaria	6/208	49/7622	0.122448979591837	4.4870486656201	4.1014122811847	0.00201873788348803	0.0165399771182935	0.0165399771182935	7040/959/3458/2995/3820/3689	6
T/NK	Human Diseases	Cancer: specific types	hsa05221	Acute myeloid leukemia	7/208	66/7622	0.106060606060606	3.88650932400932	3.94466671270471	0.00202626500309578	0.0165399771182935	0.0165399771182935	4609/5295/6774/11040/51176/6932/5292	7
T/NK	Organismal Systems	Endocrine system	hsa04917	Prolactin signaling pathway	7/208	68/7622	0.102941176470588	3.77220022624434	3.84593480709345	0.00240927692576416	0.0192194591123459	0.0192194591123459	3659/9021/5295/1154/6774/8651/2353	7
T/NK	Environmental Information Processing	Signal transduction	hsa04068	FoxO signaling pathway	10/208	128/7622	0.078125	2.86283052884615	3.55985939319417	0.00254030812899048	0.0198144034061257	0.0198144034061257	10365/7040/3575/8698/5295/6774/4616/1901/5934/1027	10
T/NK	Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	13/208	201/7622	0.0646766169154229	2.37002487562189	3.29690644185299	0.00331992557706688	0.0253324755989234	0.0253324755989234	959/3326/3320/6348/5908/5295/3312/6774/3725/6352/801/4792/2353	13
T/NK	Human Diseases	Cardiovascular disease	hsa05418	Fluid shear stress and atherosclerosis	10/208	135/7622	0.0740740740740741	2.71438746438746	3.36614878170304	0.00374047504431439	0.0279341859692415	0.0279341859692415	10365/3326/3458/3320/5880/5295/3725/1843/801/2353	10
T/NK	Human Diseases	Cancer: overview	hsa05206	MicroRNAs in cancer	11/208	160/7622	0.06875	2.51929086538462	3.25300441799595	0.00426390428886365	0.0311798001123154	0.0311798001123154	27250/994/4609/5295/4170/7430/6774/8651/54541/1027/5292	11
T/NK	Cellular Processes	Cell growth and death	hsa04217	Necroptosis	9/208	120/7622	0.075	2.74831730769231	3.23320846750377	0.00539656840476287	0.0386323387602991	0.0386323387602991	8717/3326/3458/3320/330/1540/7128/6774/3146	9
T/NK	Environmental Information Processing	Signal transduction	hsa04010	MAPK signaling pathway	16/208	289/7622	0.055363321799308	2.02874634016503	2.98626084198065	0.00550318215958677	0.0386323387602991	0.0386323387602991	8717/7040/2316/1326/1846/2323/1844/994/4609/5880/5908/3312/4616/3725/1843/2353	16
T/NK	Environmental Information Processing	Signaling molecules and interaction	hsa04517	IgSF CAM signaling	16/208	290/7622	0.0551724137931034	2.02175066312997	2.97128326220838	0.00568645333528841	0.0391361788369849	0.0391361788369849	4068/7277/5908/5295/4627/7430/117157/3932/103910/940/914/10225/10627/2534/4155/3689	16
