Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
T/NK	GO:0032928	regulation of superoxide anion generation	4/327	21/15651	0.19047619047619	9.11664482306684	5.43690414200208	0.000845215023815662	0.0128402558892779	0.0128402558892779	TGFB1/TYROBP/SOD1/ITGB2	4
T/NK	GO:0043371	negative regulation of CD4-positive, alpha-beta T cell differentiation	4/327	21/15651	0.19047619047619	9.11664482306684	5.43690414200208	0.000845215023815662	0.0128402558892779	0.0128402558892779	CD69/RUNX3/TBX21/HMGB1	4
T/NK	GO:2000353	positive regulation of endothelial cell apoptotic process	4/327	21/15651	0.19047619047619	9.11664482306684	5.43690414200208	0.000845215023815662	0.0128402558892779	0.0128402558892779	TGFB1/CD40LG/PDCD4/RGCC	4
T/NK	GO:0006986	response to unfolded protein	10/327	143/15651	0.0699300699300699	3.34701995252454	4.11862147686379	0.000849516787975475	0.0128402558892779	0.0128402558892779	HSP90AB1/HSP90AA1/HSPE1/PIK3R1/HSPA8/DNAJB1/STAT3/PPP1R15A/DNAJA1/RACK1	10
T/NK	GO:0002204	somatic recombination of immunoglobulin genes involved in immune response	5/327	36/15651	0.138888888888889	6.64755351681957	4.95547839178233	0.000855116936194464	0.0128402558892779	0.0128402558892779	TGFB1/CD40LG/NFKBIZ/BATF/CCR6	5
T/NK	GO:0002208	somatic diversification of immunoglobulins involved in immune response	5/327	36/15651	0.138888888888889	6.64755351681957	4.95547839178233	0.000855116936194464	0.0128402558892779	0.0128402558892779	TGFB1/CD40LG/NFKBIZ/BATF/CCR6	5
T/NK	GO:0045190	isotype switching	5/327	36/15651	0.138888888888889	6.64755351681957	4.95547839178233	0.000855116936194464	0.0128402558892779	0.0128402558892779	TGFB1/CD40LG/NFKBIZ/BATF/CCR6	5
T/NK	GO:1900744	regulation of p38MAPK cascade	5/327	36/15651	0.138888888888889	6.64755351681957	4.95547839178233	0.000855116936194464	0.0128402558892779	0.0128402558892779	CYLD/EZR/PTPN22/GADD45B/DUSP1	5
T/NK	GO:2001057	reactive nitrogen species metabolic process	7/327	74/15651	0.0945945945945946	4.52752293577982	4.4431274569432	0.000884435139450014	0.0132456349231018	0.0132456349231018	KLF2/HSP90AB1/IFNG/HSP90AA1/NOSIP/CX3CR1/ITGB2	7
T/NK	GO:0002478	antigen processing and presentation of exogenous peptide antigen	5/327	37/15651	0.135135135135135	6.46788990825688	4.86416739100441	0.00097202054766559	0.0142378429352489	0.0142378429352489	HLA-E/HLA-C/HLA-B/B2M/HLA-A	5
T/NK	GO:1901798	positive regulation of signal transduction by p53 class mediator	5/327	37/15651	0.135135135135135	6.46788990825688	4.86416739100441	0.00097202054766559	0.0142378429352489	0.0142378429352489	PYHIN1/MYC/UBB/PPP1R15A/DDX5	5
T/NK	GO:0001771	immunological synapse formation	3/327	10/15651	0.3	14.3587155963303	6.17273199735826	0.000972415554958975	0.0142378429352489	0.0142378429352489	CD6/CCR7/PRF1	3
T/NK	GO:0032819	positive regulation of natural killer cell proliferation	3/327	10/15651	0.3	14.3587155963303	6.17273199735826	0.000972415554958975	0.0142378429352489	0.0142378429352489	HLA-E/FLT3LG/FCGR3A	3
T/NK	GO:0038110	interleukin-2-mediated signaling pathway	3/327	10/15651	0.3	14.3587155963303	6.17273199735826	0.000972415554958975	0.0142378429352489	0.0142378429352489	EZR/STAT3/IL2RB	3
T/NK	GO:0043320	natural killer cell degranulation	3/327	10/15651	0.3	14.3587155963303	6.17273199735826	0.000972415554958975	0.0142378429352489	0.0142378429352489	NKG7/CORO1A/FCGR3A	3
T/NK	GO:0071352	cellular response to interleukin-2	3/327	10/15651	0.3	14.3587155963303	6.17273199735826	0.000972415554958975	0.0142378429352489	0.0142378429352489	EZR/STAT3/IL2RB	3
T/NK	GO:0032613	interleukin-10 production	6/327	55/15651	0.109090909090909	5.22135112593828	4.58111490212869	0.000973143838897135	0.0142378429352489	0.0142378429352489	CD40LG/XCL1/TYROBP/STAT3/CD28/HMGB1	6
T/NK	GO:0032653	regulation of interleukin-10 production	6/327	55/15651	0.109090909090909	5.22135112593828	4.58111490212869	0.000973143838897135	0.0142378429352489	0.0142378429352489	CD40LG/XCL1/TYROBP/STAT3/CD28/HMGB1	6
T/NK	GO:0002262	myeloid cell homeostasis	9/327	121/15651	0.0743801652892562	3.56001213132156	4.12946658528909	0.000989169198526937	0.0144352927027998	0.0144352927027998	LYAR/SOD1/IKZF1/ID2/STAT3/ETS1/ZFP36/PDE4B/HMGB1	9
T/NK	GO:0071219	cellular response to molecule of bacterial origin	12/327	199/15651	0.0603015075376884	2.88617398921212	3.91165834789713	0.000996966429238349	0.0145119654215154	0.0145119654215154	PDCD4/CD6/GBP5/TNFAIP3/PLSCR3/CX3CR1/NFKBIZ/PTPN22/ZFP36/B2M/PDE4B/HMGB1	12
