gene	cluster	rank	score	logfoldchange	pval	pval_adj	n_cells	dominant_existing_celltype	classic_marker_based_label	proposed_global_annotation	broad_annotation	is_technical	neg_log10_padj	de_status	ENTREZID
EAF2	7	27	26.8651466369629	3.13468790054321	5.61249381575158e-159	6.7191688077914e-157	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	156.172684447856	up	55840
CALD1	16	1	26.0553359985352	9.8865556716919	1.17050549655221e-149	3.1809657374303e-145	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	144.497441008706	up	800
COL1A2	16	2	25.0157012939453	13.2161684036255	4.12549680442478e-138	5.6057250578524e-134	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	133.251368206752	up	1278
SPARC	16	3	24.8844890594482	9.05052375793457	1.09529896375072e-136	9.92194821296322e-133	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	132.003403044069	up	6678
COL3A1	16	4	24.0304183959961	12.7632522583008	1.33771799351376e-127	9.08845604793248e-124	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	123.041509888705	up	1281
IGFBP7	16	5	24.0190906524658	7.79691982269287	1.75696799175584e-127	9.54947242879133e-124	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	123.020020620834	up	3490
IFITM3	16	6	23.406379699707	4.52608108520508	3.67991464107897e-121	1.66675600476604e-117	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	116.778127971581	up	10410
TPM2	16	7	23.3552722930908	8.44313430786133	1.21822465087999e-120	4.72949615890207e-117	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	116.325185122912	up	7169
COL6A2	16	8	23.3171539306641	7.37026691436768	2.97002639325825e-120	1.00891796578983e-116	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	115.99614414442	up	1292
COL1A1	16	9	23.2706089019775	14.899715423584	8.80001174253217e-120	2.65721243461171e-116	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	115.575573723914	up	1277
TIMP1	16	10	23.0795650482178	4.92560958862305	7.42819551671834e-118	2.01868641362337e-114	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	113.694931139902	up	7076
MYL9	16	11	22.7817440032959	8.46944713592529	6.95657534576818e-115	1.71865355996905e-111	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	110.764811658017	up	10398
CNN3	16	12	22.4670677185059	7.30569887161255	8.71602181522893e-112	1.97388840708884e-108	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	107.70467740362	up	1266
LGALS1	16	13	22.0189399719238	3.43996977806091	1.89648571760342e-107	3.4359263907727e-104	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	103.463956148806	up	3956
MGP	16	14	21.8300113677979	8.46603870391846	1.20391207607468e-105	1.9245596811415e-102	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	101.715668616766	up	4256
IGFBP4	16	15	21.7756843566895	6.41413879394531	3.94539779572038e-105	5.95667391647206e-102	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	101.224996173638	up	3487
TPM1	16	16	21.3877468109131	5.74301242828369	1.73749049159364e-101	2.48516008418677e-98	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	97.6046456304962	up	7168
RARRES2	16	17	21.1757049560547	11.1520462036133	1.59968176835139e-99	2.0701405588913e-96	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	95.6840001657129	up	5919
AEBP1	16	18	20.934513092041	7.84089374542236	2.59699875513753e-97	2.9406682570674e-94	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	93.5315539663979	up	165
SERPINH1	16	19	20.8620586395264	6.17471027374268	1.18462354313347e-96	1.2877331763278e-93	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	92.8901741152783	up	871
BGN	16	20	20.8213901519775	10.6332139968872	2.77036241205929e-96	2.89566803500474e-93	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	92.5382512279822	up	633
DCN	16	21	20.6429214477539	12.9221467971802	1.13020890669933e-94	1.13757619438745e-91	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	90.9440195048302	up	1634
BEX3	16	22	20.6393527984619	4.83260107040405	1.21679353098672e-94	1.18098503564625e-91	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	90.927755605331	up	27018
COL6A1	16	23	20.337381362915	8.86164951324463	6.00529336824599e-92	5.43999508584843e-89	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	88.2644014926161	up	1291
LHFPL6	16	24	20.3265972137451	8.5219144821167	7.48155024409809e-92	6.55866482043902e-89	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	88.1831845630838	up	10186
GNG11	17	1	20.4468193054199	8.98644828796387	6.41215839903128e-93	1.74256816652074e-88	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	87.7588102239819	up	2791
CAVIN1	16	25	20.2538928985596	6.65755701065063	3.28252283873844e-91	2.78768252079862e-88	248	VSMC_C3	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:VSMC_C3	Endothelial/Fibroblast	FALSE	87.5547566880045	up	284119
