gene	cluster	rank	score	logfoldchange	pval	pval_adj	n_cells	dominant_existing_celltype	classic_marker_based_label	proposed_global_annotation	broad_annotation	is_technical	neg_log10_padj	de_status	ENTREZID
IGKC	7	15	32.6075859069824	8.06711196899414	3.2019952772251e-233	6.08513452124961e-231	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	230.215729816581	up	3514
SPCS1	7	16	31.225700378418	1.83441662788391	4.77286717275094e-214	8.10671489291747e-212	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	211.091155100525	up	28972
HERPUD1	7	17	31.1099452972412	2.49119663238525	1.76708026387718e-212	2.96433168216829e-210	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	209.528073204311	up	9709
XBP1	7	18	30.6432132720947	2.55816960334778	3.25443948268474e-206	5.29596690906829e-204	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	203.276054737174	up	7494
POU2AF1	7	19	30.1203308105469	4.35456657409668	2.62518356204132e-199	4.14779002802528e-197	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	196.382183236849	up	5450
IGHA2	7	20	28.9120426177979	7.98164415359497	8.4260066623842e-184	1.23775760571326e-181	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	180.907364396356	up	3494
PLPP5	7	21	28.684814453125	2.88498330116272	5.90183674374177e-181	8.53129336957055e-179	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	178.0689851235	up	84513
SPCS2	7	22	28.566442489624	1.86703372001648	1.75534731017732e-179	2.48454783861348e-177	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	176.604752636735	up	9789
JSRP1	7	23	27.585880279541	7.31551170349121	1.6436713403634e-167	2.14751982431326e-165	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	164.668062818393	up	126306
ITM2C	7	24	27.4641571044922	2.44293928146362	4.70751078853406e-166	5.95029363670706e-164	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	163.225461602061	up	81618
UBE2J1	7	25	26.9769706726074	2.43096280097961	2.75385509208224e-160	3.35599847454829e-158	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	157.47417824525	up	51465
SEC61B	7	26	26.9391651153564	1.50408411026001	7.64137217130079e-160	9.22941911676757e-158	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	157.034825631837	up	10952
EAF2	7	27	26.8651466369629	3.13468790054321	5.61249381575158e-159	6.7191688077914e-157	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	156.172684447856	up	55840
FCRL5	7	28	26.8456611633301	5.6656985282898	9.4780721546079e-159	1.12971968804221e-156	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	155.947029302568	up	83416
SDC1	7	29	26.7333908081055	6.28687524795532	1.92638443901315e-157	2.2761488484618e-155	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	154.642799340716	up	6382
DNAJB9	7	30	25.8282318115234	2.34073925018311	4.2735893807719e-147	4.79913491784534e-145	1007	Plasma_C0	B/Plasma	B/Plasma | ref:Plasma_C0	B/Plasma	FALSE	144.318837040596	up	4189
GNG11	17	1	20.4468193054199	8.98644828796387	6.41215839903128e-93	1.74256816652074e-88	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	87.7588102239819	up	2791
IGFBP7	17	2	20.0192623138428	7.61915397644043	3.7421958743091e-89	5.0848957540112e-85	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	84.2937179461673	up	3490
SPARC	17	3	19.6650428771973	8.268479347229	4.29801852783582e-86	3.89343171708221e-82	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	81.4096674375479	up	6678
IFI27	17	4	19.570125579834	7.29311084747314	2.77997259174759e-85	1.88871337883331e-81	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	80.7238339433146	up	3429
EGFL7	17	5	19.5572471618652	9.26718807220459	3.57880402747148e-85	1.9451515650113e-81	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	80.7110465530614	up	51162
SPARCL1	17	6	19.5319538116455	9.95140171051025	5.87477414405241e-85	2.66088103564614e-81	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	80.5749745417272	up	8404
IFITM3	17	7	19.4777011871338	4.59023284912109	1.69729534454675e-84	6.58938546905749e-81	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	80.1811550861407	up	10410
IGFBP4	17	8	19.194429397583	6.71384811401367	4.11980908790166e-82	1.39949914716019e-78	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	77.8540273618521	up	3487
CRIP2	17	9	19.1537303924561	6.61224126815796	9.00966701218901e-82	2.72051900803609e-78	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	77.5653482353687	up	1397
HSPG2	17	10	19.029935836792	9.90782356262207	9.6370960660232e-81	2.61897722690246e-77	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	76.5818682779297	up	3339
CAVIN1	17	11	18.9329299926758	7.95743942260742	6.10691131683788e-80	1.5087401995126e-76	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	75.8213855379792	up	284119
S100A13	17	12	18.7023124694824	7.24130821228027	4.74040129130471e-78	9.90962657634591e-75	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	74.0039427106901	up	6284
CD34	17	13	18.673002243042	11.0401964187622	8.21058821339565e-78	1.59379246633743e-74	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	73.797568230363	up	947
A2M	17	14	18.6084766387939	6.18264198303223	2.74309621791117e-77	4.96975885453026e-74	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	73.3036646838396	up	2
RAMP2	17	15	18.5286960601807	10.4641361236572	1.21189062767272e-76	2.05839623110211e-73	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	72.6864710219848	up	10266
VWF	17	16	18.4274387359619	15.1885318756104	7.91419578045201e-76	1.19486769183091e-72	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	71.9226801816522	up	7450
ESAM	17	17	18.3824253082275	9.38775444030762	1.81659605033711e-75	2.5983060138927e-72	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	71.5853097014853	up	90952
MGP	17	18	18.3237152099609	8.33034515380859	5.35302192202805e-75	7.27368618765172e-72	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	71.1382454398652	up	4256
PECAM1	17	19	18.1707286834717	5.00283670425415	8.80224756193266e-74	1.13909466544325e-70	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	69.9434401820041	up	5175
APP	17	20	17.9958362579346	5.32788276672363	2.10024612698021e-72	2.59437676121883e-69	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	68.5859669544521	up	351
CAV1	17	21	17.9585075378418	7.72804975509644	4.11737164870771e-72	4.86494312718612e-69	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	68.3129222324138	up	857
TM4SF1	17	22	17.8195610046387	8.881591796875	4.98258871655357e-71	5.64195129004416e-68	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	67.2485706676589	up	4071
SPTBN1	17	23	17.6151599884033	4.62116479873657	1.8845618862852e-69	1.96980207006487e-66	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	65.7055774104867	up	6711
BCAM	17	24	17.5975685119629	9.58185291290283	2.57124685883853e-69	2.58800757910356e-66	174	Endothelial_C0	Endothelial/Fibroblast	Endothelial/Fibroblast | ref:Endothelial_C0	Endothelial/Fibroblast	FALSE	65.5870344561494	up	4059
