Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Myeloid/TAM | ref:Classical Mono_C1	GO:0032612	interleukin-1 production	15/243	111/15651	0.135135135135135	8.7037037037037	10.2287538068177	1.72497681005569e-10	1.09363529757531e-08	1.09363529757531e-08	ARRB2/CCL3/CD36/TYROBP/CLEC7A/IL1B/LGALS9/EGR1/SIRPA/LILRA2/LILRB4/NAIP/PYCARD/CD33/GSTP1	15
Myeloid/TAM | ref:Classical Mono_C1	GO:0032652	regulation of interleukin-1 production	15/243	111/15651	0.135135135135135	8.7037037037037	10.2287538068177	1.72497681005569e-10	1.09363529757531e-08	1.09363529757531e-08	ARRB2/CCL3/CD36/TYROBP/CLEC7A/IL1B/LGALS9/EGR1/SIRPA/LILRA2/LILRB4/NAIP/PYCARD/CD33/GSTP1	15
Myeloid/TAM | ref:Classical Mono_C1	GO:0050729	positive regulation of inflammatory response	17/243	151/15651	0.112582781456954	7.25116507235713	9.69328015144234	1.93926082149663e-10	1.21598046675382e-08	1.21598046675382e-08	CCL3/NEAT1/NFKBIA/S100A9/IL1B/NFKBIZ/GRN/S100A12/S100A8/NAIP/CCR1/VAMP8/LGALS2/PYCARD/LGALS1/CEBPB/CD4	17
Myeloid/TAM | ref:Classical Mono_C1	GO:0043300	regulation of leukocyte degranulation	10/243	38/15651	0.263157894736842	16.9493177387914	12.361691507783	2.18443433119905e-10	1.35482416237193e-08	1.35482416237193e-08	SPI1/FCGR2B/STXBP2/LGALS9/LYN/ITGAM/FGR/VAMP8/SYK/ITGB2	10
Myeloid/TAM | ref:Classical Mono_C1	GO:0009611	response to wounding	29/243	469/15651	0.0618336886993603	3.9825475795625	8.23562344370082	2.27670889415022e-10	1.39687106989475e-08	1.39687106989475e-08	JAML/SLC11A1/TSPO/HMOX1/TLN1/CD36/TYROBP/PLAUR/CLEC7A/RHOA/FCER1G/NFKBIZ/PLSCR1/PAK1/LYN/SERPINA1/ALOX5/GRN/ANXA5/ANXA2/ACTB/RAC1/ZFP36L1/CCR1/EMILIN2/ENG/SYK/F13A1/S100A10	29
Myeloid/TAM | ref:Classical Mono_C1	GO:0002699	positive regulation of immune effector process	20/243	223/15651	0.0896860986547085	5.77644909483475	9.02173243821304	2.92964758860603e-10	1.77835841921128e-08	1.77835841921128e-08	SPI1/LILRB1/TYROBP/CLEC7A/IL1B/HLA-DRB1/LGALS9/NFKBIZ/CFP/CD74/HLA-DMB/ITGAM/FGR/SCIMP/VAMP8/CD1D/TNFSF13/HLA-DRA/FCN1/ITGB2	20
Myeloid/TAM | ref:Classical Mono_C1	GO:0032930	positive regulation of superoxide anion generation	8/243	20/15651	0.4	25.762962962963	13.9159031401998	3.22831141854681e-10	1.9379994988306e-08	1.9379994988306e-08	TYROBP/CLEC7A/GNAI2/ITGAM/SYK/CYBA/ITGB2/GSTP1	8
Myeloid/TAM | ref:Classical Mono_C1	GO:0050671	positive regulation of lymphocyte proliferation	15/243	116/15651	0.129310344827586	8.32854406130268	9.94897276422321	3.26056698015664e-10	1.9379994988306e-08	1.9379994988306e-08	MEF2C/HLA-DPB1/HLA-DPA1/FCGR3A/IL1B/LGALS9/CD74/HLA-DMB/TNFSF13B/CD1D/PYCARD/TNFSF13/LILRB2/AIF1/CD4	15
Myeloid/TAM | ref:Classical Mono_C1	GO:0090322	regulation of superoxide metabolic process	9/243	29/15651	0.310344827586207	19.9885057471264	12.8531224619357	3.45523399823456e-10	2.03253249421922e-08	2.03253249421922e-08	CD36/TYROBP/CLEC7A/GNAI2/ITGAM/SYK/CYBA/ITGB2/GSTP1	9
Myeloid/TAM | ref:Classical Mono_C1	GO:0032946	positive regulation of mononuclear cell proliferation	15/243	117/15651	0.128205128205128	8.25735992402659	9.89503000527632	3.68892910858908e-10	2.14786015240911e-08	2.14786015240911e-08	MEF2C/HLA-DPB1/HLA-DPA1/FCGR3A/IL1B/LGALS9/CD74/HLA-DMB/TNFSF13B/CD1D/PYCARD/TNFSF13/LILRB2/AIF1/CD4	15
